# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `core/governance/approval_manager.py` | 370 | 4 | 7 | 6 |
| `core/governance/credentials_policy.py` | 369 | 4 | 10 | 0 |
| `core/security/permission_graph.py` | 367 | 1 | 0 | 19 |
| `api/memory/cache.py` | 367 | 3 | 0 | 13 |
| `agents/base_agent.py` | 364 | 5 | 15 | 4 |
| `ir_engine/ir_generator.py` | 364 | 1 | 11 | 0 |
| `core/governance/schemas.py` | 363 | 6 | 5 | 0 |
| `core/worldmodel/insight_emitter.py` | 361 | 2 | 3 | 7 |
| `services/symbolic_computation/core/metrics.py` | 360 | 1 | 3 | 6 |
| `core/tools/memory_tools.py` | 359 | 3 | 0 | 5 |
| `core/worldmodel/l9_schema.py` | 359 | 13 | 7 | 0 |
| `tests/agents/codegenagent/test_readme_generator.py` | 358 | 5 | 16 | 0 |
| `api/memory/graph.py` | 358 | 4 | 0 | 10 |
| `agents/qa_agent.py` | 356 | 1 | 2 | 5 |
| `world_model/updater.py` | 355 | 3 | 15 | 0 |
| `core/memory/virtual_context.py` | 354 | 5 | 5 | 7 |
| `collaborative_cells/architect_cell.py` | 354 | 1 | 3 | 5 |
| `scripts/load_gmp_reports_to_graph.py` | 353 | 0 | 1 | 4 |
| `world_model/nodes/service_nodes.py` | 352 | 1 | 1 | 3 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_4.py` | 351 | 0 | 0 | 0 |
| `services/symbolic_computation/core/code_generator.py` | 351 | 1 | 6 | 1 |
| `memory/substrate_semantic.py` | 350 | 4 | 8 | 10 |
| `igor/audit-memory/memory_substrate_semantic.py` | 350 | 4 | 8 | 10 |
| `tests/integration/test_graph_wm_sync.py` | 349 | 0 | 9 | 7 |
| `mac_agent/runner.py` | 348 | 0 | 3 | 2 |
| `tests/core/tools/test_tool_graph_unified.py` | 346 | 0 | 9 | 7 |
| `agents/reflection_agent.py` | 345 | 1 | 4 | 5 |
| `scripts/neo4j_unify_relationships.py` | 345 | 0 | 0 | 8 |
